name,slug,field,before,after,reason
"Slime, Red",slime-red-bfomnibus,attacks,Slam (2d6),Slam (1d4 to 2d8 by HD),manual Appendix A/B/C review
"Slime, Red",slime-red-bfomnibus,special,"regeneration, acid, fire, surprise","surprise, 2-ft./HD pseudopod, ensnare, automatic drain, grows by draining hp, regenerates, killed permanently by fire",manual Appendix A/B/C review
"Slime, Red",slime-red-bfomnibus,hde,3,2 to 7,manual Appendix A/B/C review
"Slime, Red",slime-red-bfomnibus,xp,60,30/60/120/240/400/600,manual Appendix A/B/C review
"Slime, Red",slime-red-bfomnibus,hde_xp,3/60,2 to 7/30/60/120/240/400/600,manual Appendix A/B/C review
"Snake, Vort",snake-vort-bfomnibus,hit_dice,1+2 No of Attacks: 1 bite,1+2*,manual Appendix A/B/C review
"Snake, Vort",snake-vort-bfomnibus,attacks,Attack (1d3),Bite (1d3 + poison),manual Appendix A/B/C review
"Snake, Vort",snake-vort-bfomnibus,special,poison,"weak poison: kills small creatures, knocks out halfling-sized creatures, sickens larger foes",manual Appendix A/B/C review
"Spider, Giant Shrieking Tarantula",spider-giant-shrieking-tarantula-bfomnibus,hit_dice,7 No of Attacks: 1 bite,7*,manual Appendix A/B/C review
"Spider, Giant Shrieking Tarantula",spider-giant-shrieking-tarantula-bfomnibus,attacks,Attack (1d6+1),Bite (1d6+2) or Hairs/Shriek,manual Appendix A/B/C review
"Spider, Giant Shrieking Tarantula",spider-giant-shrieking-tarantula-bfomnibus,special,"poison, paralysis, spells","poison dance, secondary dancing contagion, urticating hairs 1/week, stunning shriek",manual Appendix A/B/C review
"Spider, Giant Water",spider-giant-water-bfomnibus,hit_dice,3+3 No of Attacks: 1 bite,3+3*,manual Appendix A/B/C review
"Spider, Giant Water",spider-giant-water-bfomnibus,attacks,Attack (1d3),Bite (1d3 + poison),manual Appendix A/B/C review
"Spider, Giant Water",spider-giant-water-bfomnibus,special,"poison, breath weapon, web","poison bite, underwater web lair, air-breather, can operate underwater 1 turn, bottom-walking",manual Appendix A/B/C review
"Thulid, Great Brain",thulid-great-brain-bfomnibus,hit_dice,9 No of Attacks: Special,9** (+8),manual Appendix A/B/C review
"Thulid, Great Brain",thulid-great-brain-bfomnibus,attacks,Attack (special),Mental Blast or Enslave (special),manual Appendix A/B/C review
"Thulid, Great Brain",thulid-great-brain-bfomnibus,special,"spells, teleportation, hold/grab, charm","mental blast, enslave 3/day, teleport 1/day, psychic sense 100 ft., spells at will, telepathy",manual Appendix A/B/C review
Triton,triton-bfomnibus,attacks,Tail or Weapon (2d6),"Tail Smash, Weapon, or Spell (1d6+2)",manual Appendix A/B/C review
Triton,triton-bfomnibus,special,spells,"Magic-User spellcasting two levels below HD, aquatic, often mounted on giant sea horses",manual Appendix A/B/C review
Triton,triton-bfomnibus,hde,5,5 to 7,manual Appendix A/B/C review
Triton,triton-bfomnibus,xp,240,240/400/600,manual Appendix A/B/C review
Triton,triton-bfomnibus,hde_xp,5/240,5 to 7/240/400/600,manual Appendix A/B/C review
"Turtle, Giant Sea",turtle-giant-sea-bfomnibus,armor_class,2 [17] overall/ 5 [14] head and flippers,2 [17] overall; 5 [14] head and flippers,manual Appendix A/B/C review
"Turtle, Giant Sea",turtle-giant-sea-bfomnibus,attacks,Bite (2d6),Bite (1d6+2),manual Appendix A/B/C review
"Turtle, Giant Sea",turtle-giant-sea-bfomnibus,special,swallow,"swallows man-sized or smaller on natural 19-20, digestive damage, interior AC 12, shy unless threatened",manual Appendix A/B/C review
"Turtle, Giant Snapping",turtle-giant-snapping-bfomnibus,armor_class,0 [19] overall/ 5 [14] head and flippers,0 [19] overall; 5 [14] head and flippers,manual Appendix A/B/C review
"Turtle, Giant Snapping",turtle-giant-snapping-bfomnibus,attacks,Bite (3d6),Bite (1d6+2),manual Appendix A/B/C review
"Turtle, Giant Snapping",turtle-giant-snapping-bfomnibus,special,"swallow, surprise","surprise 1-4 while submerged, swallows small prey, bites man-sized prey in half before swallowing",manual Appendix A/B/C review
Aghar,aghar-bfomnibus,special,"magic weapons to hit, spells, fear, electricity, immunity","magic weapons to hit, earth powers, whirlwind form, electricity immunity, half damage from magical electricity/earth",manual Appendix A/B/C review
Amarok,amarok-bfomnibus,special,"spells, clerical abilities, darkvision","darkvision, strength damage bonus, pack tactics, leaders/shamans/witches in lair",manual Appendix A/B/C review
Barghest,barghest-bfomnibus,special,"silver weapons to hit, paralysis, clerical abilities, shapechanging, hug, gaze, immunity, undead, see description","silver weapons to hit, paralyzing fear gaze, shapechanging, tenacious return, turned as wight, unholy but not undead",manual Appendix A/B/C review
Couatl,couatl-bfomnibus,special,"poison, spells, clerical abilities, invisibility, shapechanging, teleportation, constriction, darkvision","poison, constriction, Magic-User/Cleric spellcasting, at-will detection/mind-reading, invisibility/incorporeality, teleportation, polymorph, darkvision",manual Appendix A/B/C review
Cuhtli,cuhtli-bfomnibus,special,"poison, spells, clerical abilities, invisibility, teleportation, constriction, charm, darkvision","poison, constriction, Magic-User/Cleric spellcasting, reptile/avian charm, at-will detection/mind-reading, invisibility/incorporeality, teleportation, polymorph, darkvision",manual Appendix A/B/C review
Lammasu,lammasu-bfomnibus,special,"spells, clerical abilities, invisibility, teleportation","6th-level Cleric spellcasting, invisibility at will, dimension door, protection from evil 10-ft. radius",manual Appendix A/B/C review
"Naga, Guardian",naga-guardian-bfomnibus,special,"poison, spells, clerical abilities, constriction, silver weapons to hit","poison bite/spit, constriction, 6th-level Cleric spellcasting",manual Appendix A/B/C review
"Naga, Spirit",naga-spirit-bfomnibus,special,"poison, paralysis, spells, clerical abilities, gaze, charm","poison, charm gaze, 5th-level Magic-User and 4th-level Cleric spellcasting",manual Appendix A/B/C review
Rakshasa,rakshasa-bfomnibus,special,"magic weapons to hit, spells, clerical abilities, illusion","magic weapons to hit, 6th-level spellcasting from Magic-User/Cleric lists, powerful illusions, mind reading, +4 saves vs. magic, blessed bolt vulnerability",manual Appendix A/B/C review
"Sphinx, Androsphinx",sphinx-androsphinx-bfomnibus,special,"paralysis, breath weapon, spells, clerical abilities, fear","6th-level Cleric spellcasting, roar fear/paralysis/deafness/strength loss, rake, intelligent guardian",manual Appendix A/B/C review
Fairy Dragon,fairy-dragon-bfomnibus,special,"breath weapon, spells, clerical abilities, invisibility","euphoria breath, spellcasting (5th-level Magic-User or 6th-level Cleric), invisibility",manual Appendix A/B/C review
Cadaver,cadaver-bfomnibus,special,"spells, clerical abilities, hold/grab, charm, sleep, immunity, undead","8th-level Cleric powers/spells, turns undead, undead immunities, turned as mummy",manual Appendix A/B/C review
Grim,grim-bfomnibus,special,"magic weapons to hit, poison, disease, spells, clerical abilities, invisibility, hold/grab, illusion, see description","magic weapons to hit, disease, howls turn undead as 10th-level Cleric, invisibility, illusion, doom omen",manual Appendix A/B/C review
Grimhost,grimhost-bfomnibus,special,"magic weapons to hit, poison, disease, spells, clerical abilities, invisibility, hold/grab, illusion, see description","magic weapons to hit, disease, former-life abilities, dispel magic/evil, turns undead as 8th-level Cleric, invisibility/illusion, doom omen",manual Appendix A/B/C review
"Demon, Pazzu",demon-pazzu-bfomnibus,special,"magic weapons to hit, poison, clerical abilities, hug, fire, cold, immunity","magic weapons to hit, poison, insect plague 1/turn, animate dead at will, disease immunity, fire/cold resistance",manual Appendix A/B/C review
Nok Tantima,nok-tantima-bfomnibus,special,"magic weapons to hit, spells, clerical abilities, immunity","magic weapons to hit, 6th-level Cleric spellcasting, magic resistance/immunity, see description",manual Appendix A/B/C review
"Celestial, Arbiter",celestial-arbiter-bfomnibus,special,"spells, clerical abilities, teleportation, hold/grab, illusion, charm, sleep, immunity, see description","teleportation, 18th-level Cleric spellcasting, immune to sleep/hold/charm/illusions, banished at 0 hp unless on home plane, see description",manual Appendix A/B/C review
"Celestial, Ascended",celestial-ascended-bfomnibus,special,"magic weapons to hit, spells, clerical abilities, hold/grab, illusion, charm, sleep, silver weapons to hit","magic weapons to hit, 11th-level Cleric spellcasting, immune to sleep/hold/charm/illusions, banished at 0 hp unless on home plane",manual Appendix A/B/C review
"Celestial, Descendant",celestial-descendant-bfomnibus,special,"spells, clerical abilities","4th-level Cleric spellcasting, immune to sleep/hold/charm/illusions, banished at 0 hp unless on home plane",manual Appendix A/B/C review
"Celestial, Egregor",celestial-egregor-bfomnibus,special,"magic weapons to hit, poison, spells, clerical abilities, teleportation, hold/grab, illusion, charm, see description","magic weapons to hit, poison/gas immunity, teleportation, 16th-level Cleric spellcasting, immune to sleep/hold/charm/illusions, banished at 0 hp unless on home plane, see description",manual Appendix A/B/C review
"Celestial, Guardian",celestial-guardian-bfomnibus,special,"magic weapons to hit, spells, clerical abilities, teleportation, hold/grab, illusion, charm, sleep, see description","magic weapons to hit, teleportation, 10th-level Cleric spellcasting, immune to sleep/hold/charm/illusions, banished at 0 hp unless on home plane, see description",manual Appendix A/B/C review
"Celestial, Oracle",celestial-oracle-bfomnibus,special,"spells, clerical abilities, hold/grab, illusion, charm, sleep, surprise","12th-level Cleric spellcasting, immune to sleep/hold/charm/illusions, banished at 0 hp unless on home plane",manual Appendix A/B/C review
"Celestial, Solar",celestial-solar-bfomnibus,special,"magic weapons to hit, spells, clerical abilities, hold/grab, illusion, charm, sleep, immunity, see description","magic weapons to hit, 9th-level Cleric spellcasting and turning, immune to sleep/hold/charm/illusions, banished at 0 hp unless on home plane, see description",manual Appendix A/B/C review
"Celestial, Warden",celestial-warden-bfomnibus,special,"magic weapons to hit, poison, spells, clerical abilities, teleportation, hold/grab, illusion, charm, see description","magic weapons to hit, poison/gas immunity, teleportation, 16th-level Cleric spellcasting, immune to sleep/hold/charm/illusions, banished at 0 hp unless on home plane, see description",manual Appendix A/B/C review
"Celestial, Watcher",celestial-watcher-bfomnibus,special,"spells, clerical abilities, hold/grab, illusion, charm, sleep, immunity","12th-level Cleric and 10th-level Magic-User spellcasting, immune to sleep/hold/charm/illusions, banished at 0 hp unless on home plane",manual Appendix A/B/C review
Allip,allip-bfomnibus,special,"insane babbling paralysis, energy drain heals 1d6 hp, undead immunities, turned as mummy, mind-reading backlash","insane babbling paralysis, energy drain heals 1d6 hp, undead immunities, turned as mummy, mind-reading backlash, immune to sleep/charm/hold",normalized false charm/sleep/hold immunity tags
Amalgam,amalgam-bfomnibus,special,"magic weapons to hit, cold immunity, at-will hold/invisibility/silence, cloudkill 1/day, undead immunities, turned as ghost","magic weapons to hit, cold immunity, at-will hold/invisibility/silence, cloudkill 1/day, undead immunities, turned as ghost, immune to sleep/charm/hold",normalized false charm/sleep/hold immunity tags
Anubian,anubian-bfomnibus,special,clerical abilities,None,removed likely false clerical abilities tag
"Bagobone, Aquatic",bagobone-aquatic-bfomnibus,special,"magic weapons to hit, spells, hold/grab, charm, sleep, fire, immunity, undead","magic weapons to hit, fire, undead, immune to sleep/charm/hold",removed likely false spells tag; normalized false charm/sleep/hold immunity tags
"Bagobone, Forest",bagobone-forest-bfomnibus,special,"magic weapons to hit, spells, hold/grab, charm, sleep, fire, immunity, undead","magic weapons to hit, fire, undead, immune to sleep/charm/hold",removed likely false spells tag; normalized false charm/sleep/hold immunity tags
Baldander,baldander-bfomnibus,special,"spells, clerical abilities, shapechanging","spells, shapechanging",removed likely false clerical abilities tag
Balroach,balroach-bfomnibus,special,"poison, disease, clerical abilities, nausea, immunity","poison, disease, nausea, immunity",removed likely false clerical abilities tag
Barkgheist,barkgheist-bfomnibus,special,"silver weapons to hit, paralysis, spells, clerical abilities, invisibility, hold/grab, charm, sleep, see description","silver weapons to hit, paralysis, invisibility, see description, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
"Bear, Dream",bear-dream-bfomnibus,special,"spells, hug",hug,removed likely false spells tag
"Bear, Ghost",bear-ghost-bfomnibus,special,"magic weapons to hit, spells, clerical abilities, fear, hold/grab, hug, charm, sleep, see description","magic weapons to hit, fear, hug, see description, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Black Knight,black-knight-bfomnibus,special,"energy drain, spells, clerical abilities, invisibility, hold/grab, charm, sleep, fire, see description","energy drain, spells, invisibility, charm, fire, see description, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Blade Spirit (Common),blade-spirit-common-bfomnibus,special,"magic weapons to hit, poison, spells, clerical abilities, hold/grab, charm, sleep, undead","magic weapons to hit, poison, hold/grab, charm, sleep, undead",removed likely false spells tag; removed likely false clerical abilities tag
Blade Spirit (Greater),blade-spirit-greater-bfomnibus,special,"magic weapons to hit, poison, spells, clerical abilities, hold/grab, charm, sleep, undead","magic weapons to hit, poison, hold/grab, charm, sleep, undead",removed likely false spells tag; removed likely false clerical abilities tag
Bloodshroud,bloodshroud-bfomnibus,special,"poison, paralysis, energy drain, spells, clerical abilities, hold/grab, charm, sleep, see description","poison, paralysis, energy drain, see description, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Boggart,boggart-bfomnibus,special,"spells, fear, illusion, charm, sleep","fear, illusion, charm, sleep",removed likely false spells tag
Bone Horror (Common),bone-horror-common-bfomnibus,special,"magic weapons to hit, poison, spells, clerical abilities, hold/grab, charm, sleep, fire, see description","magic weapons to hit, poison, fire, see description, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Bone Horror (Greater),bone-horror-greater-bfomnibus,special,"magic weapons to hit, poison, spells, clerical abilities, hold/grab, charm, sleep, fire, see description","magic weapons to hit, poison, fire, see description, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Bone Viper,bone-viper-bfomnibus,special,"poison, clerical abilities, hold/grab, charm, sleep, undead","poison, hold/grab, charm, sleep, undead",removed likely false clerical abilities tag
Brain Parasite,brain-parasite-bfomnibus,special,"disease, spells",disease,removed likely false spells tag
Bruhl,bruhl-bfomnibus,special,"spells, clerical abilities, darkvision","spells, darkvision",removed likely false clerical abilities tag
Bubák (or Living Scarecrow),bub-k-or-living-scarecrow-bfomnibus,special,"spells, charm",charm,removed likely false spells tag
Cacophony,cacophony-bfomnibus,special,"spells, fear",fear,removed likely false spells tag
Cadaver,cadaver-bfomnibus,special,"8th-level Cleric powers/spells, turns undead, undead immunities, turned as mummy","8th-level Cleric powers/spells, turns undead, undead immunities, turned as mummy, immune to sleep/charm/hold",normalized false charm/sleep/hold immunity tags
"Celestial, Charger",celestial-charger-bfomnibus,special,"spells, hold/grab, illusion, charm, sleep, immunity, silver weapons to hit","hold/grab, illusion, charm, sleep, immunity, silver weapons to hit",removed likely false spells tag
"Celestial, Messenger",celestial-messenger-bfomnibus,special,"magic weapons to hit, spells, hold/grab, illusion, charm, sleep, immunity, silver weapons to hit","magic weapons to hit, hold/grab, illusion, charm, sleep, immunity, silver weapons to hit",removed likely false spells tag
Changeling,changeling-bfomnibus,special,"spells, illusion, fire","illusion, fire",removed likely false spells tag
Cheiropteran,cheiropteran-bfomnibus,special,"spells, clerical abilities, shapechanging, illusion, immunity, silver weapons to hit","spellcasting, shapechanging, illusion, immunity, silver weapons to hit",rephrased generic spells tag for actual spellcaster; removed likely false clerical abilities tag
Clockwork Skeleton,clockwork-skeleton-bfomnibus,special,"spells, clerical abilities, hold/grab, charm, sleep, electricity, immunity, undead","electricity, undead, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
"Cockroach, Giant (Giant)",cockroach-giant-giant-bfomnibus,special,"poison, disease, clerical abilities, nausea, immunity","poison, disease, nausea, immunity",removed likely false clerical abilities tag
"Cockroach, Giant Ghoul",cockroach-giant-ghoul-bfomnibus,special,"paralysis, disease, spells, clerical abilities, hold/grab, charm, sleep, immunity, see description","paralysis, disease, see description, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Crawling Claw,crawling-claw-bfomnibus,special,"spells, clerical abilities, hold/grab, charm, sleep, immunity, undead","spells, hold/grab, undead, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Crypt Dweller,crypt-dweller-bfomnibus,special,"magic weapons to hit, spells, clerical abilities, hold/grab, charm, sleep, immunity, undead","magic weapons to hit, undead, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Dancing Shadow,dancing-shadow-bfomnibus,special,"magic weapons to hit, spells",magic weapons to hit,removed likely false spells tag
Dantaeons,dantaeons-bfomnibus,special,"spells, clerical abilities, fear, fire","spells, fear, fire",removed likely false clerical abilities tag
Darktorch,darktorch-bfomnibus,special,"spells, clerical abilities, invisibility, hold/grab, charm, sleep, immunity, undead","spells, invisibility, undead, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Deadringer,deadringer-bfomnibus,special,"spells, clerical abilities, hold/grab, charm, sleep, immunity, undead","undead, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Dormayvoo,dormayvoo-bfomnibus,special,"petrification, spells, clerical abilities, fear, charm, sleep, immunity, undead","petrification, spells, fear, charm, sleep, immunity, undead",removed likely false clerical abilities tag
"Dragon, Cave",dragon-cave-bfomnibus,special,"paralysis, breath weapon, spells, invisibility, fear, darkvision","paralysis, breath weapon, invisibility, fear, darkvision",removed likely false spells tag
"Dragon, Plains (Yellow Dragon)",dragon-plains-bfrpg,special,"spell use, breath weapon, fire, surprise","breath weapon, fire, surprise",removed likely false spells tag
"Dragon, Sea (Gray Dragon)",dragon-sea-bfrpg,special,"spell use, breath weapon, web","breath weapon, web",removed likely false spells tag
Draugr,draugr-bfomnibus,special,"breath weapon, spells, clerical abilities, invisibility, hold/grab, charm, sleep, immunity, see description","breath weapon, spells, invisibility, see description, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Dreamless,dreamless-bfomnibus,special,"magic weapons to hit, spells, fear, sleep","magic weapons to hit, fear, sleep",removed likely false spells tag
Dufferped,dufferped-bfomnibus,special,"spells, invisibility, magic weapons to hit","invisibility, magic weapons to hit",removed likely false spells tag
Dynamo,dynamo-bfomnibus,special,"poison, disease, spells, fire, lightning","poison, disease, fire, lightning",removed likely false spells tag
"Elemental, Blood (Device)",elemental-blood-device-bfomnibus,special,"magic weapons to hit, spells, shapechanging, fire, cold, lightning","magic weapons to hit, shapechanging, fire, cold, lightning",removed likely false spells tag
"Elemental, Blood (Spell)",elemental-blood-spell-bfomnibus,special,"magic weapons to hit, spells, shapechanging, fire, cold, lightning","magic weapons to hit, shapechanging, fire, cold, lightning",removed likely false spells tag
"Elemental, Blood (Staff)",elemental-blood-staff-bfomnibus,special,"magic weapons to hit, spells, shapechanging, fire, cold, lightning","magic weapons to hit, shapechanging, fire, cold, lightning",removed likely false spells tag
Ettercap,ettercap-bfomnibus,special,"poison, paralysis, web, spells","poison, paralysis, web",removed likely false spells tag
"Fairy, Frost",fairy-frost-bfomnibus,special,"magic weapons to hit, spells, cold","magic weapons to hit, cold",removed likely false spells tag
"Fish, Crusher (Adult)",fish-crusher-adult-bfomnibus,special,"poison, spells, shapechanging, undead, surprise","poison, shapechanging, undead, surprise",removed likely false spells tag
"Fish, Crusher (Fry)",fish-crusher-fry-bfomnibus,special,"poison, spells, shapechanging, undead, surprise","poison, shapechanging, undead, surprise",removed likely false spells tag
"Fish, Crusher (Juvenile)",fish-crusher-juvenile-bfomnibus,special,"poison, spells, shapechanging, undead, surprise","poison, shapechanging, undead, surprise",removed likely false spells tag
"Fungi, Violet (Huge)",fungi-violet-huge-bfomnibus,special,"poison, disease, spells","poison, disease",removed likely false spells tag
"Fungi, Violet (Large)",fungi-violet-large-bfomnibus,special,"poison, disease, spells","poison, disease",removed likely false spells tag
"Fungi, Violet (Medium)",fungi-violet-medium-bfomnibus,special,"poison, disease, spells","poison, disease",removed likely false spells tag
"Fungi, Violet (Small)",fungi-violet-small-bfomnibus,special,"poison, disease, spells","poison, disease",removed likely false spells tag
Fyrenewt,fyrenewt-bfomnibus,special,"magic weapons to hit, breath weapon, spells, clerical abilities, shapechanging, fire, cold, immunity","magic weapons to hit, breath weapon, spells, shapechanging, fire, cold, immunity",removed likely false clerical abilities tag
"Geminate Serpent, Blue",geminate-serpent-blue-bfomnibus,special,"poison, breath weapon, spells, constriction, cold, immunity","poison, breath weapon, constriction, cold, immunity",removed likely false spells tag
"Geminate Serpent, Green",geminate-serpent-green-bfomnibus,special,"poison, breath weapon, spells, constriction, sleep, immunity","poison, breath weapon, constriction, sleep, immunity",removed likely false spells tag
"Geminate Serpent, Pleasant",geminate-serpent-pleasant-bfomnibus,special,"poison, breath weapon, spells, fear, constriction, immunity","poison, breath weapon, fear, constriction, immunity",removed likely false spells tag
"Geminate Serpent, Sea",geminate-serpent-sea-bfomnibus,special,"poison, paralysis, breath weapon, spells, constriction, immunity","poison, paralysis, breath weapon, constriction, immunity",removed likely false spells tag
"Geminate Serpent, Shadow",geminate-serpent-shadow-bfomnibus,special,"poison, energy drain, breath weapon, spells, constriction, immunity","poison, energy drain, breath weapon, constriction, immunity",removed likely false spells tag
"Geminate Serpent, White",geminate-serpent-white-bfomnibus,special,"poison, breath weapon, web, spells, constriction, immunity, surprise","poison, breath weapon, web, constriction, immunity, surprise",removed likely false spells tag
